replicate,pa_dataset_macro_mean_over_oz,nvp_dataset_macro_mean_over_oz,paired_dataset_macro_delta
214,0.08930926056321063,0.08812468746672728,0.0011845730964833573
215,0.08748714172956785,0.08551250445444625,0.0019746372751216074
216,0.07431606411217292,0.07389456519251635,0.0004214989196565794
217,0.07444094686606147,0.07239067556233957,0.002050271303721901
218,0.09314238915145732,0.09191546169686403,0.0012269274545932962
219,0.08364474763675385,0.08311558237470303,0.0005291652620508236
220,0.0875885508389251,0.08459338949395329,0.002995161344971811
221,0.09210452037350812,0.08679541541966108,0.005309104953847038
222,0.08680022554712233,0.08246362121577559,0.004336604331346736
223,0.09304442088647802,0.08873565480702321,0.004308766079454809
224,0.08988971411463437,0.08747839912671555,0.002411314987918814
225,0.094841081199729,0.0910938465065234,0.003747234693205606
226,0.08499117874572322,0.08501159334031952,-2.041459459629913e-05
227,0.0894947452922441,0.08777609159663376,0.0017186536956103476
228,0.08773162395354756,0.08554339424784685,0.002188229705700706
229,0.0888849212972828,0.08816586135101366,0.0007190599462691405
230,0.10155438200952223,0.09675311736998425,0.004801264639537978
231,0.07882686795074885,0.07817843217189552,0.0006484357788533318
232,0.08829652353482474,0.08358164519805061,0.004714878336774128
233,0.09657352142018906,0.09660006222868583,-2.654080849677498e-05
234,0.08991388726242816,0.08927077605126983,0.0006431112111583287
235,0.09226763414475808,0.08964120613975707,0.0026264280050010136
236,0.08444557517938638,0.08468299253787118,-0.00023741735848480106
237,0.09374327535029706,0.09296557477670267,0.0007777005735943865
238,0.0811738326587765,0.08261204277154983,-0.0014382101127733277
239,0.08720256756370183,0.0907295081588522,-0.0035269405951503657
240,0.08481113292085453,0.08206818833257262,0.0027429445882819065
241,0.09464755972766975,0.09142864398173371,0.003218915745936038
242,0.09185042854382128,0.08550546269999458,0.006344965843826697
243,0.11083099696441939,0.107129492393683,0.003701504570736397
244,0.09275350514572972,0.0900210974773146,0.002732407668415121
245,0.09325365089237907,0.09056555869655167,0.002688092195827399
246,0.09548211333034326,0.09228771845281104,0.0031943948775322167
247,0.10237311478956164,0.09850424148419579,0.0038688733053658525
248,0.09355435917825279,0.0916760412204909,0.001878317957761888
249,0.08488440542500686,0.08044176321125085,0.0044426422137560095
250,0.09912219638514333,0.09543557246406906,0.0036866239210742724
251,0.08769740152021123,0.08641168893600223,0.001285712584208995
252,0.07752608773183334,0.07581504739869371,0.001711040333139624
253,0.0814780966446912,0.07928445338453607,0.0021936432601551287
254,0.08957720377412053,0.08738025977716239,0.002196943996958134
255,0.08239455786710018,0.08092434087864636,0.0014702169884538152
256,0.0807877164484931,0.0784829011103989,0.0023048153380941933
257,0.08740816664060531,0.0836608693524922,0.0037472972881131134
258,0.08936019746427859,0.08336138355312962,0.0059988139111489674
259,0.09665437626499866,0.09294263441017177,0.0037117418548268943
260,0.09981515886711778,0.09652462635612964,0.0032905325109881395
261,0.09074678905264312,0.09092743187660453,-0.00018064282396140774
262,0.0907420799692171,0.08916063833214541,0.00158144163707169
263,0.09183716534349456,0.09128265570683146,0.0005545096366631058
264,0.0894105043331782,0.08921472275690025,0.000195781576277948
265,0.08726422814236752,0.08383619001257601,0.0034280381297915052
266,0.09109423575997062,0.09146723003655506,-0.0003729942765844374
267,0.08786524958572893,0.08978389423393571,-0.001918644648206777
268,0.0819502606251327,0.08031452159416823,0.0016357390309644781
269,0.09639480847740947,0.09514997725808313,0.0012448312193263367
270,0.08801111525342684,0.08919660417390035,-0.0011854889204735153
